tweet,favorites,retweets,user,date,hour
Know-how - právo opět tento pojem nezná Michal Koštík #dataconf14,2,0,PavelLasak,22/11/2014,15
"RT @jakubmracek: Úplně jsem zapomněl: Dovoluji si doporučit všem, které se mi podařilo zlákat na #opendatacz, naši knihu http://t.co/96Vr1D…",0,6,MichalLorenz,22/11/2014,15
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,czleft,22/11/2014,14
#DataConf14 Je Mendelejevova periodicka tabulka prvku prvni infografikou?,1,1,Martix_cz,22/11/2014,14
Tým Dmitriho Mendělejeva: Ať žijí Google Images &lt;3 #DataConf14 http://t.co/I5XJvo639O,3,0,endlife_cs,22/11/2014,14
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,peter_balbercak,22/11/2014,14
"Michal Koscik: pravo nechrani myslenku, ale jen jeji vyjadreni. #dataconf14",1,0,vojtano_k,22/11/2014,14
"Michal Koščík je prvý vtipný právnik, ktorého som na konferencii zažil prednášať: ""Právo dátového analytika nepozná :)))” #DataConf14",1,0,davidtvrdon,22/11/2014,14
Michal Koscik: Ceske pravo nezna datoveho analytika a neumi ho pojmenovat. #DataConf14,1,0,vojtano_k,22/11/2014,14
"#dataconf14 pojem ""datový analytik"" právo nezná - Michal Koštik",1,0,PavelLasak,22/11/2014,14
"""Kdo se na právnické fakultě zabývá datovou analytikou? Vpodstatě nikdo."" #DataConf14",2,0,ImThePudge,22/11/2014,14
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,MadSmejki,22/11/2014,14
"RT @jakubmracek: Úplně jsem zapomněl: Dovoluji si doporučit všem, které se mi podařilo zlákat na #opendatacz, naši knihu http://t.co/96Vr1D…",0,6,XimaraQuerida,22/11/2014,14
"RT @jakubmracek: Úplně jsem zapomněl: Dovoluji si doporučit všem, které se mi podařilo zlákat na #opendatacz, naši knihu http://t.co/96Vr1D…",0,6,jankadlec_cz,22/11/2014,14
"#dataconf14 150.000.000 kamer, za chvíli budou připojena k nám Adam Herout",1,0,PavelLasak,22/11/2014,14
"RT @vojtano_k: Takze neni problem v nedostatku pokrocilych technologii ve zdravotnictvi, ale jejich koordinace a cena. #dataconf14",0,1,vitvolsicka,22/11/2014,14
"RT @dataconfcz: Right now, right here... Máme už první fotky na FB. Ale nekoukejte na ně a dávejte pozor! :D http://t.co/3HhxrUmbkp  #DataC…",0,1,Martix_cz,22/11/2014,14
"Right now, right here... Máme už první fotky na FB. Ale nekoukejte na ně a dávejte pozor! :D http://t.co/3HhxrUmbkp  #DataConf14",4,1,dataconfcz,22/11/2014,14
"RT @jakubmracek: Úplně jsem zapomněl: Dovoluji si doporučit všem, které se mi podařilo zlákat na #opendatacz, naši knihu http://t.co/96Vr1D…",0,6,dataconfcz,22/11/2014,14
"""o nasl. desetileti budou nejspis mluvit jako o 10leti pocitac. videni""
-jen aby to nebylo jak se stroj. prekladem (viz r. 1954) #dataconf14",0,0,edison23net,22/11/2014,14
"tezko vyvijet technologii, u niz nevime, co ma delat
#pocitacoveVideni #dataconf14",0,0,edison23net,22/11/2014,14
"RT @jakubmracek: Úplně jsem zapomněl: Dovoluji si doporučit všem, které se mi podařilo zlákat na #opendatacz, naši knihu http://t.co/96Vr1D…",0,6,cervenypult,22/11/2014,14
"RT @jakubmracek: Úplně jsem zapomněl: Dovoluji si doporučit všem, které se mi podařilo zlákat na #opendatacz, naši knihu http://t.co/96Vr1D…",0,6,iVerNen,22/11/2014,14
@jakubmracek To my děkujeme za skvělou přednášku :) #dataconf14,4,0,ImThePudge,22/11/2014,14
zaklad pocitacu? kolo. #dataconf14,2,0,edison23net,22/11/2014,14
"Úplně jsem zapomněl: Dovoluji si doporučit všem, které se mi podařilo zlákat na #opendatacz, naši knihu http://t.co/96Vr1DW6GX #DataConf14",7,6,jakubmracek,22/11/2014,14
Opouštím #DataConf14. Díky za milé publikum a inspiraci. Užijte si zbytek!,3,0,jakubmracek,22/11/2014,14
Začínáme odpolední blok! Adam @adamheroutcz jde na věc #DataConf14,0,0,dataconfcz,22/11/2014,14
"RT @adamhruby: To takhle trolíte pravdama @VojtaRocek den před jeho přednáškou, a on je pak s chladným klidem druhý den odpřednáší. #likeab…",0,1,VojtaRocek,22/11/2014,14
"To takhle trolíte pravdama @VojtaRocek den před jeho přednáškou, a on je pak s chladným klidem druhý den odpřednáší. #likeaboss #DataConf14",5,1,adamhruby,22/11/2014,14
RT @paveljasek: Kniha 'Think Stats: Pravděpodobnost a statistika pro programátory' v českém překladu a zdarma: http://t.co/jehFliiNPJ #Data…,0,12,jakubmracek,22/11/2014,14
"RT @jakubmracek: .@vojtarocek: Pokud říkáte, že máte #bigdata, pravděpodobně je nezvládáte. #DataConf14",0,5,adamhruby,22/11/2014,14
"RT @jakubmracek: ""@edison23net: nejdriv postavit datovou analytiku, pak az firmu."" Příkladem je @damejidlo, které nejdřív mělo nastavené me…",0,4,VojtaRocek,22/11/2014,14
"RT @jakubmracek: Každá firma bude potřebovat člověka, který se jí bude starat o data. @VojtaRocek @ #DataConf14",0,2,VojtaRocek,22/11/2014,14
"RT @edison23net: ""lidi, co rikaj, ze maj #bigdata , svoje data nezvladaj."" #dataconf14",0,3,VojtaRocek,22/11/2014,14
15 minut - akademicka ctvrthodinka #DataConf14,1,0,dataconfcz,22/11/2014,14
RT @paveljasek: Kniha 'Think Stats: Pravděpodobnost a statistika pro programátory' v českém překladu a zdarma: http://t.co/jehFliiNPJ #Data…,0,12,bajtos,22/11/2014,13
Podle MDT na #DataConf14 mám EKG i krevní cukr v poho. Takže si zasloužím odměnu. http://t.co/o1flm4QonT,2,0,jankadlec_cz,22/11/2014,13
"Nezacinejte pls bez nas, pul hodiny cekame na jidlo... :D #DataConf14 http://t.co/IeUsajD0xy",4,0,PetrTwo,22/11/2014,13
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,alzbetah,22/11/2014,13
"RT @h_onza: #DataConf14 data v nasem statu nestavime top-down ani bottom-up, mame vlastni system bottom-nikam",0,4,marek_jelen,22/11/2014,13
RT @jakubmracek: Chybovost zdravotnických diagnoz je až 20 %. Veronika Bulkova na #dataconf14,0,2,antobiasek,22/11/2014,13
"""Zdravotní sestry se průměrně věnují svým pacientům pouze 19 % ze své pracovní doby."" smutné #DataConf14",1,0,ImThePudge,22/11/2014,13
"RT @davidtvrdon: Veronika Bulková: Lekár nerobí nič iné, len zisťuje o vás dáta a na ich základe sa snaží vyvodiť záver. Sú to dátoví analy…",0,2,ischiam,22/11/2014,13
"RT @PetrTwo: Priklad blbe prace s daty, ktera nas stoji cas, penize a potrebnou peci. #DataConf14 http://t.co/jIwztrfsLB",0,1,jirtob,22/11/2014,13
Zatím byla rozhodně nejlepší přednáška o OpenDatech. #DataConf14,2,0,ImThePudge,22/11/2014,13
"Veronika Bulková: „Lékaři neumí s ničím jiným, než s Excelem.“ Doplnil bych: „Ve skutečnosti neumí ani s Excelem.“ #DataConf14 @endlife_cs",2,0,EdaKucera,22/11/2014,13
"RT @zdrojak: Dnešek je plný akcí: #devfestcz v Praze, #DataConf14 v Brně a #barcampcz v Ostravě.",0,4,GISHackathon,22/11/2014,13
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,peky913,22/11/2014,12
RT @paveljasek: Kniha 'Think Stats: Pravděpodobnost a statistika pro programátory' v českém překladu a zdarma: http://t.co/jehFliiNPJ #Data…,0,12,KlimesFilip,22/11/2014,12
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,VojtaRocek,22/11/2014,12
